BANK NAME,IFSC,OFFICE,ADDRESS,DISTRICT,CITY,STATE,PHONE
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001020,PEDABALLI,PEDABALLI-515231 PUTTAPARTHY MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PEDABALLI,ANDHRA PRADESH,238927
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001021,GANDLAPENTA,GANDLAPENTA-515520 GANDLAPENTA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GANDLAPENTA,ANDHRA PRADESH,254342
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001022,NAMBULA POOLAKUNTA,NAMBULA POOLA KUNTA-515521 NAMBULA POOLA KUNTA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,NAMBULA POOLAKUNTA,ANDHRA PRADESH,259544
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001023,PAMUTHURTHI,PAMUDURTHY-515154 BUKKAPATNAM MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PAMUTHURTHI,ANDHRA PRADESH,243446
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001024,PERUR,PERUR-515621 RAMAGIRI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PERUR,ANDHRA PRADESH,269644
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001025,GUNTAKAL,"GUNTAKAL-515801 MANDY BAZAR, GUNTAKAL MANDAL ANANTAPUR DISTRICT",ANANTAPUR,GUNTAKAL,ANDHRA PRADESH,226071
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001026,PEDDA PAPPUR,PEDDAPAPPUR-515447 PEDDAPAPPUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PEDDA PAPPUR,ANDHRA PRADESH,282020
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001027,PUTLUR,PUTLUR-515414 PUTLUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PUTLUR,ANDHRA PRADESH,276113
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001028,N.S.GATE,N.S. GATE-515621 RAMAGIRI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,KUNTIMADDI,ANDHRA PRADESH,202397
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001029,DHARMAVARAM,"DHARMAVARAM-515671, SLV MARKET, DHARMAVARAM MANDAL ANANTAPUR DISTRICT",ANANTAPUR,DHARMAVARAM,ANDHRA PRADESH,223059
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001030,KALYANDURG,"KALYANADURG-515761 MUDIGAL ROAD, KALYANADURG MANDAL ANANTAPUR DISTRICT",ANANTAPUR,KALYANDURG,ANDHRA PRADESH,220039
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001031,RAYADURG,RAYADURG-515865 RAYADURG MANDAL ANANTAPUR DISTRICT,ANANTAPUR,RAYADURG,ANDHRA PRADESH,252108
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001032,KADIRI - MAIN BRANCH,"KADIRI-515591, BY-PASS ROAD, KADIRI MANDAL ANANTAPUR DISTRICT",ANANTAPUR,KADIRI,ANDHRA PRADESH,224032
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001033,KANUMUKKALA,KANUMUKKALA-515652 CHENNE KOTHAPALLI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,KANUMUKKALA,ANDHRA PRADESH,247287
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001034,THIMMAPURAM,THIMMAPURAM (A)-515611 KAMBADUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,THIMMAPURAM,ANDHRA PRADESH,200048
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001035,PUTTAPARTHI,"PUTTAPARTHY  *  -515134 PUTTAPARTHY MANDAL, ANANTAPUR DISTRICT",ANANTAPUR,PUTTAPARTHI,ANDHRA PRADESH,287251
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001036,BHOOPASAMUDRAM,BHOOPASAMUDRAM-515865 GUMMAGATTA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,BHOOPASAMUDRAM,ANDHRA PRADESH,255411
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001037,PATHAKOTHACHERUVU,PATHA KOTHA CHERUVU -515401 GUNTAKAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PATHAKOTHACHERUVU,ANDHRA PRADESH,200352
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001038,CHEEMALAVAGUPALLI,CHEEMALAVAGUPALLI-515408 PEDDAPAPPUR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,CHEEMALAVAGUPALLI,ANDHRA PRADESH,281611
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001039,BANDAMEEDAPALLI,BANDAMEEDAPALLI-515641 RAPTHADU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,M.BANDAMEEDAPALLI,ANDHRA PRADESH,260634
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001040,NALLAGUTLAPALLI,NALLAGUTLAPALLI-515571 TANAKAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,THAVALAM,ANDHRA PRADESH,200097
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001041,TALPULA,TALUPULA-515581 TALUPULA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,TALPULA,ANDHRA PRADESH,250838
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001042,MADAKASIRA,MADAKASIRA-515301 MADAKASIRA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,MADAKASIRA,ANDHRA PRADESH,288468
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001043,GORANTLA,GORANTLA-515231 GORANTLA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GORANTLA,ANDHRA PRADESH,235462
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001044,TALAMARLA,TALAMARLA-515133 KOTHACHERVU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,TALAMARLA,ANDHRA PRADESH,246430
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001045,GOWNIVARIPALLI,GOWNIVARIPALLI-515231 GORANTLA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GOWNIVARIPALLI,ANDHRA PRADESH,204299
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001046,NEELAKANTAPURAM,NEELAKANTAPURAM-515291 MADAKASIRA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GOVINDAPURAM,ANDHRA PRADESH,289344
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001047,NALLACHERUVU,NALLACHERUVU-515551 NALLACHERUVU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,NALLACHERUVU,ANDHRA PRADESH,253327
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001048,HEMAVATHI,HEMAVATHI-515286 AMARAPURAM MANDAL ANANTAPUR DISTRICT,ANANTAPUR,HEMAVATHI,ANDHRA PRADESH,262223
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001049,GARLADINNE,GARLADINNE (A)-515731 GARLADINNE MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GARLADINNE,ANDHRA PRADESH,286479
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001050,BATHALAPALLI,BATHALAPALLI-515661 BATHALAPALLI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,BATHALAPALLI,ANDHRA PRADESH,242366
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001051,THAGGUPARTHI,THAGGUPARTHY-515741 BELUGUPPA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,THAGGUPARTHI,ANDHRA PRADESH,201259
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001052,B.PAPPUR,B. PAPPUR-515435 NARPALA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,B.PAPPUR,ANDHRA PRADESH,201221
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001053,DADITHOTA,DADITHOTA-515631 TADIMARRI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,DADITHOTA,ANDHRA PRADESH,237267
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001054,DURADAKUNTA,DURADAKUNTA-515787 KALYANADURG MANDAL ANANTAPUR DISTRICT,ANANTAPUR,DURADAKUNTA,ANDHRA PRADESH,289866
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001055,BUDILI,BUDILI-515241 GORANTLA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,BUDILI,ANDHRA PRADESH,246119
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001056,AMADAGURU,AMADAGURU-515566 AMADAGURU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,AMADAGURU,ANDHRA PRADESH,243642
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001057,TARIMALA,TARIMELA-515611 SINGANAMALA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,TARIMALA,ANDHRA PRADESH,285817
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001058,GANDLAPARTHI,GANDLAPARTHY-515641 RAPTHADU MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GANDLAPARTHI,ANDHRA PRADESH,260252
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001059,KUDAIR,KUDAIR-515711 KUDAIR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,KUDAIR,ANDHRA PRADESH,258557
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001060,RAKETLA,RAKETLA-515812 URAVAKONDA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,RAKETLA,ANDHRA PRADESH,200033
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001061,UDDEHAL,UDDEHAL-515871 BOMMANAHAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,UDDEHAL,ANDHRA PRADESH,239043
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001062,PALTHUR,PALTHUR-515870 VIDAPANAKAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PALTHUR,ANDHRA PRADESH,258011
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001063,KANAGANAPALLI,KANAGANIPALLI-515641 KANAGANIPALLI MANDAL  ANANTAPUR DISTRICT,ANANTAPUR,KANAGANAPALLI,ANDHRA PRADESH,248307
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001064,B.KOTHAPALLI,B. KOTHAPALLI-515581 TALUPULA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,B.KOTHAPALLI,ANDHRA PRADESH,247003
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001065,URAVAKONDA,URAVAKONDA-515812 URAVAKONDA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,URAVAKONDA,ANDHRA PRADESH,257002
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001066,PEDDAMANTHUR,PEDDAMANTHUR-515124 RODDAM MANDAL ANANTAPUR DISTRICT,ANANTAPUR,PEDDAMANTHUR,ANDHRA PRADESH,202106
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001067,EDDULAPALLI,EDDULAPALLI-515775 PAMIDI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,EDDULAPALLI,ANDHRA PRADESH,244654
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001068,GADEKAL,GADEKAL-515801 VIDAPANAKAL MANDAL ANANTAPUR DISTRICT,ANANTAPUR,GADEKAL,ANDHRA PRADESH,258711
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001069,JELLIPALLI,JELLIPALLI-515711 KUDAIR MANDAL ANANTAPUR DISTRICT,ANANTAPUR,UDIRIPIKONDA,ANDHRA PRADESH,200245
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001070,ANANTPUR -AMBEDKAR ROAD BRANCH,"AMBEDKAR ROAD  BRANCH OPP: Z.P.OFFICE,DR.AMBEDKAR  ROAD,  ANANTAPUR. PIN ┬û515001",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,249142
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001071,ANANTAPUR-PTC BRANCH,"ANANTAPUR *  POLICE TRAINING COLLEGE BR. OPP.POLICE TRAINING COLLEGE,, ANANTAPUR,  ANANTAPUR DISTRICT  PIN  515001",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,270922
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001072,NARPALA,"NARPALA, NARPALA (MANDAL), ANANTAPUR (DIST) - 515435",ANANTAPUR,GUGUDU,ANDHRA PRADESH,254636
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001073,PENUKONDA,PENUKONDA-515110 PENUKONDA MANDAL  ANANTAPUR DISTRICT,ANANTAPUR,PENUKONDA,ANDHRA PRADESH,221169
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001074,MUDIGUBBA,MUDIGUBBA-515511 MUDIGUBBA MANDAL ANANTAPUR DISTRICT,ANANTAPUR,MUDIGUBBA,ANDHRA PRADESH,256836
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001075,GOOTY,"GOOTY-515455 OPP: RTC BUS STAND, GOOTY MANDAL, ANANTAPUR DISTRICT",ANANTAPUR,GOOTY,ANDHRA PRADESH,251936
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001076,HINDUPUR,"HINDUPUR-515201 PENUKONDA ROAD, HINDUPUR MANDAL ANANTAPUR DISTRICT",ANANTAPUR,HINDUPUR,ANDHRA PRADESH,227047
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001077,TADPATRI,TADIPATRI-515411 TADIPATRI MANDAL ANANTAPUR DISTRICT,ANANTAPUR,TADPATRI,ANDHRA PRADESH,227645
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001078,KOTHACHERUVU,"KOTHACHERUVU-515133 PUTTAPARTHI ROAD, KOTHACHERUVU MANDAL ANANTAPUR DISTRICT",ANANTAPUR,KOTHACHERUVU,ANDHRA PRADESH,280188
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001079,AGALI,"AGALI-515311 MAIN ROAD, NEAR WATER TANK,  AGALI MANDAL ANANTAPUR DISTRICT",ANANTAPUR,AGALI,ANDHRA PRADESH,284968
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001080,KANEKAL,"KANEKAL-515871 MAIN ROAD,  KANEKAL MANDAL ANANTAPUR DISTRICT",ANANTAPUR,KANEKAL,ANDHRA PRADESH,257646
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001081,"MARUTHI-NAGAR BRANCH,ANANTAPUR","ANANTAPUR  MARUTHINAGAR BRANCH, DWARAKAMAYI TOWERS,  RAMA NAGAR MAIN ROAD,  ANANTAPUR, ANANTAPUR DISTRICT. PIN  515001",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,243116
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001082,"NIRMALA CONVENT, REVENUE COLONY, ANANTAPUR",NIRMALA CONVENT-ANANTAPUR-515 001 REVENUE COLONY ANANTAPUR DISTRICT,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,244030
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001083,"SAI JR. COLLEGE, TARAKNADH NGR, ANANTAPUR",SAI JUNIOR COLLEGE-ANANTAPUR-515 001 TARAKNATH NAGAR ANANTAPUR DISTRICT,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,272154
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001084,"MEDICAL COLLEGE, GOVT. GEN. HOSP., ANANTAPUR",MEDICAL COLLEGE-ANATAPUR-515 001 GOVERNMENT GENERAL HOSPITAL ANANTAPUR.,ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,240252
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001085,MAMILLAPALLI,"MAMILLAPALLI, MUKTHAPURAM (POST), KANAGANIPALLI (MANDAL), ANANTAPUR (DIST) - 515641",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,201199
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001086,REKKAMANU,"REKKAMANU, GANDLAPENTA (MANDAL), ANANTAPUR (DIST) - 515521",ANANTAPUR,GANDLAPENTA,ANDHRA PRADESH,264666
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001087,PEDDAVADUGUR,"D.NO.4/11-B, PEDDAVADUGUR  VIL & MANDAL, ANANTAPUR DISTRICT, PIN-515 405",ANANTAPUR,PEDAVADIGURI,ANDHRA PRADESH,243960
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001088,BUKKARAYA SAMUDRAM,"D.NO.1/261 & 262 BUKKARAYASAMUDRAM, ANANTAPUR DISTRICT PIN-515 701",ANANTAPUR,BUKKARAYA SAMUDRAM,ANDHRA PRADESH,277844
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001089,ANANTAPUR-VENUGOPAL NAGAR,"D.NO.16-1-290/A, 17TH WARD, VENUGOPALNAGAR-ANANTAPUR ANANTAPUR DISTRICT PIN-515 001",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,274368
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001090,"M. G. ROAD, KADIRI","D.NO.6-39, M.G.ROAD, KADIRI POST & MANDAL ANANTAPUR DISTRICT PIN-515 519",ANANTAPUR,KADIRI,ANDHRA PRADESH,225032
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001091,NAGASAMUDRAM,NAGASAMUDRAM VIL & PO GUNTAKAL MANDAL ANANTAPUR DISTRICT PIN-515 401,ANANTAPUR,GUNTAKAL,ANDHRA PRADESH,200339
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001092,KODURU,KODUR VILLAGE & PO CHILAMATHUR MANDAL ANANTAPUR DISTRICT PIN- 515 601,ANANTAPUR,HINDUPUR,ANDHRA PRADESH,9491308348
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001093,MOHAMMADABAD,"MOHAMMADABAD-515561  MOHAMMADABAD VIL &POSTAMADAGURU (M), ANANTAPUR (D)",ANANTAPUR,HINDUPUR,ANDHRA PRADESH,9491308347
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001094,ENUMULADODDI,"D.NO.3/30,  ENUMULADODDI VILLAGE, KUNDURPI MANDAL ANANTAPUR PIN-515766",ANANTAPUR,KALYANDURG,ANDHRA PRADESH,7382600290
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001095,CHIGICHERLA,"D.NO.1-A-170,  CHIGICHERLA VILLAGE, DHARMAVARAM MANDAL ANANTAPUR PIN-515672",ANANTAPUR,DHARMAVARAM,ANDHRA PRADESH,7382600291
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001096,GANGAVARAM,"GANGAVARAM VILLAGE, BELAGUPPA MANDAL ANANTAPUR PIN-515 761",ANANTAPUR,BELUGUPPA,ANDHRA PRADESH,7382600292
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001097,GODISELAPALLI,"D. NO. 4/117, GODISELAPALLI VILLAGE & POST, D. HIREHAL  MANDAL, ANANTAPUR DISTRICT, PIN-515 871",ANANTAPUR,RAYADURG,ANDHRA PRADESH,7382633818
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001098,BASAVANAHALLI,"D. NO. 1/194, BASAVANAHALLI VILLAGE, AMARAPURAM MANDAL, ANANTAPUR DISTRICT,  PIN-515305",ANANTAPUR,ROLLA,ANDHRA PRADESH,7382633706
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001099,RATNAGIRI,"D. NO. 9/302 A, RATNAGIRI VILLAGE & POST, ROLLA MANDAL, ANANTAPUR.  DISTRICT, PIN-515321",ANANTAPUR,ROLLA,ANDHRA PRADESH,7382633813
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001100,RAMAGIRI,"RAMAGIRI VILLAGE & POST, RAMAGIRI MANDAL, ANANTAPUR DISTRICT, PIN-515672",ANANTAPUR,RAMGIRI,ANDHRA PRADESH,7382633821
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001101,TAPOVANAM-A,"TAPOVANAM, ANANTAPUR MANDAL, ANANTAPUR DIST",ANANTAPUR,ANANTAPUR,ANDHRA PRADESH,7382612441
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001102,VENGALAMMA CHERUVU,"D.NO 1/54, VENGALAMMA CHERUVU VILLAGE, BUKKAPATNAM POST, PUTTAPARTHY MANDAL, ANANTAPUR DISTRICT-515144",ANANTAPUR,PUTTAPARTHI,ANDHRA PRADESH,7382612442
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001103,DHARMAVARAM KOTHAPET,"D.NO.30/797, DHARMAVARAM MANDAL, ANANTAPUR, PIN515 671",ANANTAPUR,DHARMAVARAM,ANDHRA PRADESH,7382633700
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001104,BELUGUPPA,"D.NO.3/5, BELUGUPPA VIL & PO,BELUGUPPA MANDAL, ANANTAPUR, PIN515 741",ANANTAPUR,BELUGUPPA,ANDHRA PRADESH,7382609272
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001105,VANAVOLU,GORANTLA MANDAL,ANANTAPURAM,VANAVOLU,ANDHRA PRADESH,7382633822
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001106,HANUMESH NAGAR,HANUMESH NAGAR GUNTAKAL,ANANTAPURAM,GUNTAKAL,ANDHRA PRADESH,9490158418
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001107,KALYANADURG ROAD,DNO 6/64/2 GANESH NAGAR KALYANADURG ROAD ANANTAPURAM,ANANTAPURAM,ANANTAPUR,ANDHRA PRADESH,225367
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001108,VIDYUTH NAGAR ANANTAPURAM,"D.NO 11/1/464/2,VIDYUTH NAGAR CIRCLE, ANANTAPURAM",ANANTAPURAM,ANANTAPURAM,ANDHRA PRADESH,225422
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001109,KALYANADURG VALMIKI CIRICLE,"D.NO 8/1184, HINDUPUR ROAD, VALMIKIN NAGAR, KALYANADURG-515761",ANANTAPURAM,KALYANADURG,ANDHRA PRADESH,220039
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001110,TADIPATRI SANJEEV NAGAR,"DNO 13/915, FIRST ROAD, SANJEEV NAGAR, OPP KRISHNAPURAM,TADIPATRI",ANANTAPURAM,TADIPATRI,ANDHRA PRADESH,227645
ANDHRA PRAGATHI GRAMEENA BANK,APGB0001111,NANEPPA NAGAR,"D.NO 5/4/13A, NANEPPA NAGAR, LEPAKSHI ROAD, HINDUPUR.",ANANTAPURAM,HINDUPUR,ANDHRA PRADESH,9494038574
